iso_code,destination,corridor,fee_id,label,category,basis,applies_to,visa_subtype,amount,currency,collection_basis,inr_amount,is_approximate,is_stale,family_cap_amount,family_max_persons,mandatory,verified_on,source_url
at,Austria,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
at,Austria,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
at,Austria,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
be,Belgium,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
be,Belgium,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
be,Belgium,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
bg,Bulgaria,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
bg,Bulgaria,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
bg,Bulgaria,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
ch,Switzerland,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
ch,Switzerland,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
ch,Switzerland,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
cz,Czechia,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
cz,Czechia,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
cz,Czechia,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
de,Germany,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
de,Germany,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
de,Germany,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
dk,Denmark,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
dk,Denmark,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
dk,Denmark,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
ee,Estonia,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
ee,Estonia,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
ee,Estonia,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
es,Spain,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
es,Spain,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
es,Spain,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
fi,Finland,schengen,consular_fee_adult,"Schengen visa fee, adult",consular,per_person,adult,short_stay,90,EUR,official_inr,,false,false,,,true,,
fi,Finland,schengen,consular_fee_child_6_11,"Schengen visa fee, child 6-11",consular,per_person,child_6_11,short_stay,,EUR,official_inr,,false,false,,,,,
fi,Finland,schengen,consular_fee_child_under_6,"Schengen visa fee, child under 6",consular,per_person,child_under_6,short_stay,,EUR,official_inr,,false,false,,,,,
